step,node_index,x,y,step_distance,cumulative_distance
241,625,257.759982,891.873081,31.290805,6537.962874
242,576,281.095867,877.763015,27.270084,6565.232959
243,470,299.31272,860.824588,24.874968,6590.107927
244,131,302.752804,865.673243,5.945051,6596.052977
245,464,291.060743,932.479674,67.821851,6663.874828
246,974,270.684582,935.188366,20.555412,6684.43024
247,297,249.024745,952.813474,27.924773,6712.355013
248,599,235.392425,951.0328,13.748126,6726.103138
249,588,246.974482,978.13186,29.470376,6755.573514
250,405,266.013609,965.364353,22.923734,6778.497248
251,976,321.001757,954.253123,56.099517,6834.596766
252,663,363.031657,901.2138,67.673349,6902.270115
253,72,369.000548,893.43356,9.80611,6912.076225
254,537,362.817593,878.5683,16.099842,6928.176067
255,417,350.785377,851.140738,29.950715,6958.126782
256,65,349.539686,871.077208,19.975349,6978.102131
257,102,368.517191,921.682844,54.046981,7032.149112
258,328,359.074716,938.231106,19.052698,7051.20181
259,176,358.932916,956.076926,17.846384,7069.048193
260,660,387.890258,964.399939,30.129723,7099.177917
261,776,378.920666,981.685001,19.47375,7118.651667
262,48,404.207267,985.348175,25.550559,7144.202226
263,998,429.23908,969.483537,29.635762,7173.837988
264,287,416.25846,902.63804,68.094177,7241.932165
265,353,436.357727,913.503575,22.848203,7264.780368
266,352,463.241933,910.018699,27.10913,7291.889498
267,457,494.324446,909.511945,31.086643,7322.976141
268,363,520.272093,908.041408,25.989283,7348.965425
269,241,549.879672,897.513895,31.423514,7380.388939
270,682,558.304177,894.391073,8.984671,7389.37361
271,506,562.360733,909.208499,15.362674,7404.736284
272,825,562.87409,919.78584,10.589791,7415.326075
273,394,587.544841,943.703166,34.361089,7449.687164
274,390,601.014585,914.426078,32.227037,7481.9142
275,402,620.410393,919.602757,20.074745,7501.988945
276,21,666.657631,890.098571,54.857124,7556.846069
277,657,649.916608,853.58877,40.165002,7597.01107
278,150,670.949851,821.796792,38.119905,7635.130975
279,509,693.040991,839.678523,28.421378,7663.552353
280,556,696.099693,855.024057,15.647398,7679.199752
281,636,701.879154,880.119667,25.752511,7704.952263
282,147,730.769261,879.131197,28.907013,7733.859275
283,724,728.614329,901.36669,22.339671,7756.198946
284,566,740.482223,902.184414,11.896032,7768.094978
285,158,731.220854,912.627422,13.958129,7782.053107
286,499,748.669149,921.271034,19.471903,7801.52501
287,661,776.294963,942.471214,34.822884,7836.347894
288,309,778.311575,970.625495,28.226411,7864.574304
289,459,785.226445,976.799219,9.269859,7873.844164
290,514,777.329232,983.092522,10.098101,7883.942264
291,508,774.529728,978.810444,5.115996,7889.058261
292,288,763.42873,970.085861,14.119154,7903.177414
293,805,741.452133,961.936022,23.439084,7926.616499
294,66,740.164509,980.439147,18.547873,7945.164372
295,969,694.54251,978.664346,45.656508,7990.82088
296,624,693.15803,988.91591,10.344629,8001.165508
297,255,657.852548,974.260825,38.226281,8039.391789
298,474,633.870588,957.047905,29.519807,8068.911597
299,406,617.332311,981.840299,29.802306,8098.713903
300,916,612.63613,990.069657,9.475044,8108.188946
301,875,601.492149,973.755941,19.756661,8127.945607
302,122,580.104827,981.313557,22.683366,8150.628973
303,107,573.530322,963.124578,19.340709,8169.969683
304,658,568.431469,956.285704,8.530446,8178.500129
305,857,551.343268,964.524689,18.970701,8197.47083
306,214,534.9347,975.161172,19.554433,8217.025263
307,393,505.769813,989.353841,32.434897,8249.46016
